"業界","事例名","その説明","専門用語の解説"
"金融業","レガシーシステムの脱却","長年稼働してきた巨大で複雑な勘定系システム（メインフレーム等）を、拡張性・柔軟性の高いクラウド環境へモダナイゼーションする取り組み。保守コストを削減し、API連携を前提としたアーキテクチャへ刷新することで、新機能開発のリードタイムを劇的に短縮します。","モダナイゼーション: 古くなったITシステムを最新の環境や設計へと刷新すること。 / メインフレーム: 企業の基幹業務を処理するための大型コンピュータ。"
"金融業","生成AIによる業務効率化","膨大な数の稟議書、契約書、目論見書などのドキュメント処理や、コールセンターにおける顧客対応履歴の要約に大規模言語モデル（LLM）を導入。手作業の負担を軽減し、より付加価値の高い提案業務へ人員をシフトさせます。","LLM（大規模言語モデル）: 膨大なテキストデータを学習し、人間のように自然な文章を生成したり要約・翻訳したりできるAIの仕組み。"
"金融業","BaaS (Banking as a Service)","自社の金融機能（決済、融資、口座管理など）をAPIを通じて外部の小売業やサービス業へ提供するモデル。非金融のサービス内に金融機能をシームレスに組み込む「Embedded Finance（組込型金融）」を実現し、新たな収益源を確保します。","API: 異なるソフトウェア同士をつなぎ、機能やデータをやり取りするためのインターフェース。 / Embedded Finance: 非金融企業のサービスの中に金融機能を組み込むこと。"
"金融業","データ主導のリスク管理・コンプライアンス","機械学習モデルを活用し、膨大なトランザクションデータからマネーロンダリング（AML）や不正アクセスなどの異常なパターンをリアルタイムで検知・遮断する高度な監視システムの構築。","AML（アンチ・マネー・ロンダリング）: 犯罪行為などで得た不正な資金の出所を隠す行為（資金洗浄）を防ぐための対策や仕組み。"
"金融業","顧客体験（CX）のパーソナライズ","顧客の資産状況、ライフイベント、ウェブ上の行動履歴などを統合的なデータベースで分析し、一人ひとりに最適なタイミングでパーソナライズされた金融商品や投資信託の提案を自動化するマーケティング基盤の導入。","パーソナライズ: 顧客全員に同じものを提供するのではなく、個人の属性や行動履歴に合わせて最適な情報やサービスを提供すること。"
"金融業","デジタルアセット・Web3の基盤整備","ブロックチェーン技術を活用し、不動産などの実物資産を小口証券化するセキュリティトークン（STO）の取引基盤の構築や、スマートコントラクトによる権利移転の自動化・低コスト化の検証。","セキュリティトークン（STO）: ブロックチェーン技術を用いて発行・管理されるデジタル化された有価証券。 / スマートコントラクト: ブロックチェーン上で契約を自動的に実行する仕組み。"
"金融業","キャッシュレス決済の高度化","銀行の自社アプリにミニアプリ機能を持たせて「スーパーアプリ化」を図る動きや、生体認証（顔や静脈など）と紐付けたデータベース構築により、スマートフォンすら不要な手ぶら決済体験の提供。","スーパーアプリ: 日常生活のあらゆる場面で利用できる統合的なアプリ。その中で動く個別のサービスを「ミニアプリ」と呼ぶ。"
"金融業","サステナブルファイナンス（ESG）","投資先企業のCO2排出量やガバナンス体制といった非財務データを収集し、M&Aにおける無形資産（のれん）の評価や、企業の長期的な企業価値算定に組み込むための高度なデータ分析プラットフォームの構築。","のれん: 企業買収（M&A）の際、買収先の純資産を上回る買収額のこと。ブランド力や顧客基盤などの目に見えない価値（無形資産）を指す。"
"金融業","ゼロトラストセキュリティ","社内外のネットワーク境界に依存せず、すべてのアクセス要求に対して「何も信用しない（ゼロトラスト）」前提で都度認証と認可を行うアーキテクチャの導入。クラウド化やテレワーク普及に伴う情報漏洩リスクを根本から低減します。","ゼロトラスト: 「社内ネットワークは安全」という前提を捨て、すべての通信を疑い、アクセスする度に認証と安全性の確認を行うセキュリティの考え方。"
"金融業","アジャイル開発の定着","数年がかりのウォーターフォール型開発から脱却し、ビジネス部門とエンジニア部門が一体となった小規模なチームを組成。市場の反応を見ながら短いサイクル（スプリント）でシステムを継続的にリリース・改善する組織への変革。","アジャイル開発: 小さな単位で開発とテストを繰り返し、柔軟にシステムを作り上げる手法。対義語は、最初に全ての計画を決めるウォーターフォール型開発。"
"通信・情報通信業","5G SA（Stand Alone）の本格展開","4Gの設備に依存しない純粋な5Gネットワーク（SA構成）の構築。「超低遅延」や「ネットワークスライシング（用途別の回線分割）」技術を活用し、工場におけるロボット制御など法人向けの高度なローカル5Gソリューションを提供します。","ネットワークスライシング: 物理的な1つの通信網を、用途（高速大容量用、低遅延用など）に合わせて仮想的に分割（スライス）して提供する技術。"
